"B_G","dIepr_over_dB","B_mT"
3439.169922,-0.00110881677660678,343.9169922
3439.219971,-0.000603527542615218,343.9219971
3439.27002,-0.000762106925237897,343.927002
3439.320068,7.75682558524033e-07,343.9320068
3439.370117,-0.00183235846270374,343.9370117
3439.419922,-0.00142273677751117,343.9419922
3439.469971,-0.00180377968594999,343.9469971
3439.52002,-0.00244095187929763,343.952002
3439.570068,-0.000336466312998652,343.9570068
3439.620117,0.00218117915009793,343.9620117
3439.669922,0.0030741021793013,343.9669922
3439.719971,0.000254745826198531,343.9719971
3439.77002,-0.000223366482289468,343.977002
3439.820068,0.00305990323009137,343.9820068
3439.870117,0.000723706799403102,343.9870117
3439.919922,0.000541895811609563,343.9919922
3439.969971,0.000688684232004725,343.9969971
3440.02002,-0.00160999116098454,344.002002
3440.070068,-0.00221216339672554,344.0070068
3440.120117,-0.00168856583971353,344.0120117
3440.169922,-0.000637521364489626,344.0169922
3440.219971,-0.000533957213444913,344.0219971
3440.27002,0.000999241070545377,344.027002
3440.320068,-0.00099421339474718,344.0320068
3440.370117,-0.00166929099225897,344.0370117
3440.419922,-1.30332477439667e-05,344.0419922
3440.469971,-0.00204393524131713,344.0469971
3440.52002,-0.000975017681563693,344.052002
3440.570068,-0.000722093290476473,344.0570068
3440.620117,-0.000938112849003332,344.0620117
3440.669922,0.0010527358377917,344.0669922
3440.719971,0.00122809173004474,344.0719971
3440.77002,-0.000630082743008629,344.077002
3440.820068,-0.00281691314872438,344.0820068
3440.870117,-0.00156435894881426,344.0870117
3440.919922,-0.000746771833993257,344.0919922
3440.969971,-0.00110199427195058,344.0969971
3441.02002,-0.000774282298087494,344.102002
3441.070068,-0.000921737707338856,344.1070068
3441.120117,0.000956327685831292,344.1120117
3441.169922,0.00161027060387928,344.1169922
3441.219971,-0.000132463825655896,344.1219971
3441.27002,0.00112772686453061,344.127002
3441.320068,-0.000282982850648194,344.1320068
3441.370117,-0.00128036857140031,344.1370117
3441.419922,-0.000408455911968776,344.1419922
3441.469971,0.00029257766022005,344.1469971
3441.52002,-0.00124203366951267,344.152002
3441.570068,0.00129700637525471,344.1570068
3441.620117,7.40031455420556e-05,344.1620117
3441.669922,0.00124387901712409,344.1669922
3441.719971,0.000515883246217806,344.1719971
3441.77002,0.00135100421036715,344.177002
3441.820068,0.00160231760963629,344.1820068
3441.870117,0.00119835420146455,344.1870117
3441.919922,-0.0019707247356774,344.1919922
3441.969971,-0.000812227181067691,344.1969971
3442.02002,4.38416833668241e-05,344.202002
3442.070068,0.000458787869637593,344.2070068
3442.120117,-0.00125505125710442,344.2120117
3442.169922,-0.000984016378674445,344.2169922
3442.219971,-0.000382426389233217,344.2219971
3442.27002,-0.0013182286676615,344.227002
3442.320068,-0.000540248387995331,344.2320068
3442.370117,2.16106056428388e-05,344.2370117
3442.419922,-0.000500743429385381,344.2419922
3442.469971,-0.000670186861099571,344.2469971
3442.52002,0.00198115032261347,344.252002
3442.570068,0.0014799422001871,344.2570068
3442.620117,-0.000210682389125821,344.2620117
3442.669922,-0.000727395286638461,344.2669922
3442.719971,0.00116659874897196,344.2719971
3442.77002,0.00145821419032923,344.277002
3442.820068,0.000217236181709244,344.2820068
3442.870117,0.00224996944145336,344.2870117
3442.919922,3.4040708477824e-06,344.2919922
3442.969971,-0.000733742985668218,344.2969971
3443.02002,-0.00153616453852002,344.302002
3443.070068,-0.00103066603147283,344.3070068
3443.120117,-0.000733974736033508,344.3120117
3443.169922,0.00038455427092183,344.3169922
3443.219971,0.00015891986533608,344.3219971
3443.27002,0.00109766149397025,344.327002
3443.320068,0.000780779610348502,344.3320068
3443.370117,-0.00134732746962516,344.3370117
3443.419922,-0.000531357087395324,344.3419922
3443.469971,0.00178049407340834,344.3469971
3443.52002,0.00237697429407991,344.352002
3443.570068,0.000525537627288888,344.3570068
3443.620117,0.00117605529436536,344.3620117
3443.669922,-0.00065373258516402,344.3669922
3443.719971,-0.0011395434835754,344.3719971
3443.77002,0.000780700476077427,344.377002
3443.820068,-0.00121087172405314,344.3820068
3443.870117,-0.00228301683157684,344.3870117
3443.919922,-0.0021741111172346,344.3919922
3443.969971,-0.000516751161934155,344.3969971
3444.02002,0.000767790284996425,344.402002
3444.070068,7.42801154908162e-05,344.4070068
3444.120117,-0.00125428252418541,344.4120117
3444.169922,-0.000865659771386743,344.4169922
3444.219971,-0.000796959919198257,344.4219971
3444.27002,0.0019574043888432,344.427002
3444.320068,0.00109755409745951,344.4320068
3444.370117,0.000297704430496087,344.4370117
3444.419922,-0.000465986527039898,344.4419922
3444.469971,8.97508654858703e-05,344.4469971
3444.52002,-0.00174915442911689,344.452002
3444.570068,-0.00113334274819192,344.4570068
3444.620117,0.000379766647521826,344.4620117
3444.669922,0.00043911735082766,344.4669922
3444.719971,-0.000969037391649639,344.4719971
3444.77002,-0.000657129706372287,344.477002
3444.820068,0.00267095811112147,344.4820068
3444.870117,0.00231929106291457,344.4870117
