Filename:	P:\EPR_user_data\Tarabek\Pracovne\IOCB\IOCB_EPR_Measurements\Violog_wire_Lubos_Magda\Merania_&_Vysledky\Wire_1\TMPhenylDiam_Quant_I\RAW\TMPDA_CV_b.par	 Date: 08/02/2011   Time: 09:50

Slice 1
X [G]	Y []	Intensity
3456.719971	0.000000	9028.404297
3456.770020	0.000000	36418.406250
3456.820068	0.000000	-5966.595703
3456.870117	0.000000	-61759.593750
3456.919922	0.000000	-22121.595703
3456.969971	0.000000	-58024.593750
3457.020020	0.000000	-23161.595703
3457.070068	0.000000	-4944.595703
3457.120117	0.000000	36089.406250
3457.169922	0.000000	117797.406250
3457.219971	0.000000	35492.406250
3457.270020	0.000000	-86531.593750
3457.320068	0.000000	-7963.595703
3457.370117	0.000000	-15235.595703
3457.419922	0.000000	45056.406250
3457.469971	0.000000	75096.406250
3457.520020	0.000000	-71377.593750
3457.570068	0.000000	-30272.595703
3457.620117	0.000000	14600.404297
3457.669922	0.000000	37965.406250
3457.719971	0.000000	-2263.595703
3457.770020	0.000000	1479.404297
3457.820068	0.000000	-81743.593750
3457.870117	0.000000	-41733.593750
3457.919922	0.000000	21405.404297
3457.969971	0.000000	9088.404297
3458.020020	0.000000	46898.406250
3458.070068	0.000000	39085.406250
3458.120117	0.000000	51494.406250
3458.169922	0.000000	45085.406250
3458.219971	0.000000	8622.404297
3458.270020	0.000000	33252.406250
3458.320068	0.000000	-8076.595703
3458.370117	0.000000	-39510.593750
3458.419922	0.000000	34518.406250
3458.469971	0.000000	-23922.595703
3458.520020	0.000000	-16374.595703
3458.570068	0.000000	38690.406250
3458.620117	0.000000	42650.406250
3458.669922	0.000000	76604.406250
3458.719971	0.000000	-13007.595703
3458.770020	0.000000	-31449.595703
3458.820068	0.000000	-66381.593750
3458.870117	0.000000	-60378.593750
3458.919922	0.000000	-13236.595703
3458.969971	0.000000	9259.404297
3459.020020	0.000000	8591.404297
3459.070068	0.000000	26143.404297
3459.120117	0.000000	81980.406250
3459.169922	0.000000	29282.404297
3459.219971	0.000000	14749.404297
3459.270020	0.000000	41382.406250
3459.320068	0.000000	15587.404297
3459.370117	0.000000	-2611.595703
3459.419922	0.000000	39037.406250
3459.469971	0.000000	-7755.595703
3459.520020	0.000000	12359.404297
3459.570068	0.000000	-32576.595703
3459.620117	0.000000	-29524.595703
3459.669922	0.000000	-49073.593750
3459.719971	0.000000	87516.406250
3459.770020	0.000000	11213.404297
3459.820068	0.000000	1802.404297
3459.870117	0.000000	-33451.593750
3459.919922	0.000000	54367.406250
3459.969971	0.000000	52364.406250
3460.020020	0.000000	34125.406250
3460.070068	0.000000	47207.406250
3460.120117	0.000000	10382.404297
3460.169922	0.000000	-54613.593750
3460.219971	0.000000	-94584.593750
3460.270020	0.000000	-110186.593750
3460.320068	0.000000	-61428.593750
3460.370117	0.000000	-42692.593750
3460.419922	0.000000	1394.404297
3460.469971	0.000000	-28274.595703
3460.520020	0.000000	-49577.593750
3460.570068	0.000000	20706.404297
3460.620117	0.000000	-37907.593750
3460.669922	0.000000	-31574.595703
3460.719971	0.000000	21696.404297
3460.770020	0.000000	12265.404297
3460.820068	0.000000	25553.404297
3460.870117	0.000000	104314.406250
3460.919922	0.000000	88491.406250
3460.969971	0.000000	37458.406250
3461.020020	0.000000	47477.406250
3461.070068	0.000000	30841.404297
3461.120117	0.000000	-684.595703
3461.169922	0.000000	39796.406250
3461.219971	0.000000	3759.404297
3461.270020	0.000000	-6809.595703
3461.320068	0.000000	-8232.595703
3461.370117	0.000000	-35472.593750
3461.419922	0.000000	3668.404297
3461.469971	0.000000	8055.404297
3461.520020	0.000000	-20019.595703
3461.570068	0.000000	-78420.593750
