Filename:	P:\EPR_user_data\Tarabek\Pracovne\IOCB\IOCB_EPR_Measurements\Violog_wire_Lubos_Magda\Merania_&_Vysledky\Wire_1\TMPhenylDiam_Quant_I\RAW\TMPDA_accu_b.par	 Date: 08/02/2011   Time: 09:52

X [G]	Intensity
3459.520020	-517996.781250
3459.570068	-953321.750000
3459.620117	-709644.750000
3459.669922	-308805.781250
3459.719971	-115596.773438
3459.770020	424104.218750
3459.820068	-272162.781250
3459.870117	-109738.773438
3459.919922	-299076.781250
3459.969971	-211024.765625
3460.020020	185212.234375
3460.070068	-105518.773438
3460.120117	-504886.781250
3460.169922	-74876.773438
3460.219971	215685.234375
3460.270020	257466.234375
3460.320068	501004.218750
3460.370117	489324.218750
3460.419922	811619.250000
3460.469971	1318570.250000
3460.520020	1596358.250000
3460.570068	1837267.250000
3460.620117	2279285.250000
3460.669922	2096853.250000
3460.719971	1956346.250000
3460.770020	1729044.250000
3460.820068	988927.250000
3460.870117	413974.218750
3460.919922	-422976.781250
3460.969971	-1252983.750000
3461.020020	-1502248.750000
3461.070068	-1559204.750000
3461.120117	-1780202.750000
3461.169922	-1670294.750000
3461.219971	-1554941.750000
3461.270020	-1401989.750000
3461.320068	-708869.750000
3461.370117	-10315.770508
3461.419922	359030.218750
3461.469971	721813.250000
3461.520020	1118703.250000
3461.570068	1427901.250000
3461.620117	1953443.250000
3461.669922	1943369.250000
3461.719971	1373703.250000
3461.770020	1216553.250000
3461.820068	1039637.250000
3461.870117	476546.218750
3461.919922	-156754.765625
3461.969971	-916627.750000
3462.020020	-1331238.750000
3462.070068	-1721296.750000
3462.120117	-1641608.750000
3462.169922	-1243617.750000
3462.219971	-1134804.750000
3462.270020	-1356987.750000
3462.320068	-1232358.750000
3462.370117	-946434.750000
3462.419922	-423747.781250
3462.469971	-399291.781250
3462.520020	-280664.781250
3462.570068	9685.229492
3462.620117	49043.230469
3462.669922	469015.218750
3462.719971	183464.234375
3462.770020	-130419.773438
3462.820068	-213507.765625
3462.870117	-155477.765625
3462.919922	-411707.781250
3462.969971	-254026.765625
3463.020020	-355176.781250
3463.070068	-355879.781250
3463.120117	354998.218750
3463.169922	511198.218750
3463.219971	1050845.250000
3463.270020	1676422.250000
3463.320068	2233990.250000
3463.370117	3361795.250000
3463.419922	4494775.000000
3463.469971	5865619.000000
3463.520020	6940586.000000
3463.570068	7708888.000000
3463.620117	7694820.000000
3463.669922	7261814.000000
3463.719971	6011326.000000
3463.770020	4124674.250000
3463.820068	1418626.250000
3463.870117	-1171308.750000
3463.919922	-3601490.750000
3463.969971	-4992768.000000
3464.020020	-6045797.000000
3464.070068	-7075766.000000
3464.120117	-7206357.000000
3464.169922	-6505464.000000
3464.219971	-5603520.000000
3464.270020	-4650086.000000
3464.320068	-3810887.750000
3464.370117	-2947377.750000
3464.419922	-2197246.750000
3464.469971	-1650639.750000
3464.520020	-1342896.750000
3464.570068	-1126261.750000
3464.620117	-566112.750000
3464.669922	-558187.750000
3464.719971	-211775.765625
3464.770020	112402.226563
3464.820068	382305.218750
3464.870117	136961.234375
3464.919922	240463.234375
3464.969971	108130.226563
3465.020020	58370.230469
3465.070068	841155.250000
3465.120117	1438388.250000
3465.169922	1546205.250000
3465.219971	2416115.250000
3465.270020	3170155.250000
3465.320068	4334997.000000
3465.370117	5893746.000000
3465.419922	8280109.000000
3465.469971	10074334.000000
3465.520020	11013570.000000
3465.570068	11888661.000000
3465.620117	11660530.000000
3465.669922	10057542.000000
3465.719971	7129261.000000
3465.770020	3539137.250000
3465.820068	-601546.750000
3465.870117	-4272744.000000
3465.919922	-6920547.000000
3465.969971	-9043399.000000
3466.020020	-10243699.000000
3466.070068	-10558868.000000
3466.120117	-10406992.000000
3466.169922	-9589933.000000
3466.219971	-8037760.000000
3466.270020	-6455272.000000
3466.320068	-5511437.000000
3466.370117	-4257900.000000
3466.419922	-3308961.750000
3466.469971	-2160173.750000
3466.520020	-1522153.750000
3466.570068	-1105446.750000
3466.620117	-740117.750000
3466.669922	-467124.781250
3466.719971	-288580.781250
3466.770020	-463291.781250
3466.820068	-316523.781250
3466.870117	226574.234375
3466.919922	112749.226563
3466.969971	92482.226563
3467.020020	263907.218750
3467.070068	806732.250000
3467.120117	665598.250000
3467.169922	1023458.250000
3467.219971	1848438.250000
3467.270020	2575587.250000
3467.320068	3570970.250000
3467.370117	4853798.000000
3467.419922	6245915.000000
3467.469971	7048816.000000
3467.520020	7604512.000000
3467.570068	7596854.000000
3467.620117	7041293.000000
3467.669922	5900075.000000
3467.719971	3744710.250000
3467.770020	715927.250000
3467.820068	-1725446.750000
3467.870117	-3742472.750000
3467.919922	-5374343.000000
3467.969971	-6259910.000000
3468.020020	-7122429.000000
3468.070068	-7014196.000000
3468.120117	-6456424.000000
3468.169922	-5368029.000000
3468.219971	-3624771.750000
3468.270020	-2444213.750000
3468.320068	-1264376.750000
3468.370117	450685.218750
3468.419922	2229918.250000
3468.469971	3112954.250000
3468.520020	4042117.250000
3468.570068	4709906.000000
3468.620117	4902814.000000
3468.669922	4546676.000000
3468.719971	4048684.250000
3468.770020	2839300.250000
3468.820068	1145034.250000
3468.870117	70266.226563
3468.919922	-1412255.750000
3468.969971	-2579303.750000
3469.020020	-3435991.750000
3469.070068	-3622762.750000
3469.120117	-4067589.750000
3469.169922	-4040024.750000
3469.219971	-3798008.750000
3469.270020	-2898905.750000
3469.320068	-2162967.750000
3469.370117	-1054511.750000
3469.419922	-345575.781250
3469.469971	241425.234375
3469.520020	1003998.250000
3469.570068	1225528.250000
3469.620117	1169349.250000
3469.669922	795925.250000
3469.719971	471869.218750
3469.770020	23303.228516
3469.820068	-342479.781250
3469.870117	-818131.750000
3469.919922	-930902.750000
