"B_G","dIepr_over_dB","B_mT"
3445.92,-6.39186060331415e-09,344.592
3445.97,-4.63190295502986e-08,344.597
3446.02,-2.71408017020451e-07,344.602
3446.07,5.70418780280992e-08,344.607
3446.12,-8.52838870221158e-07,344.612
3446.17,-1.0521211880687e-06,344.617
3446.22,-1.55788007391896e-08,344.622
3446.27,5.35758440249538e-07,344.627
3446.32,2.04719810771631e-07,344.632
3446.37,-8.11604844583867e-08,344.637
3446.42,-1.55564263111918e-08,344.642
3446.47,1.06877321626585e-06,344.647
3446.52,-1.9162751910888e-07,344.652
3446.57,-8.71181426293712e-07,344.657
3446.62,-5.59221340469322e-08,344.662
3446.67,-6.02587605394743e-07,344.667
3446.72,-1.11353228059412e-06,344.672
3446.77,-8.95820749465587e-09,344.677
3446.82,2.17220403693973e-07,344.682
3446.87,-3.55417264343575e-07,344.687
3446.92,-7.43448054297367e-07,344.692
3446.97,-7.48524812010056e-07,344.697
3447.02,-4.02799590514406e-07,344.702
3447.07,-5.27845793708221e-07,344.707
3447.12,-1.1236656590343e-06,344.712
3447.17,-4.50240090198032e-07,344.717
3447.22,-2.12578933485972e-07,344.722
3447.27,3.93264658103078e-07,344.727
3447.32,-3.06808819518467e-07,344.732
3447.37,-5.00374471012586e-07,344.737
3447.42,-3.57345940036981e-07,344.742
3447.47,3.09049548562354e-07,344.747
3447.52,3.93412329327863e-07,344.752
3447.57,7.50103188065122e-07,344.757
3447.62,-4.83513102073483e-07,344.762
3447.67,-3.48664661973854e-07,344.767
3447.72,-6.23926097376196e-07,344.772
3447.77,-7.7601403424809e-07,344.777
3447.82,-1.45029867623934e-06,344.782
3447.87,-6.70473857382711e-07,344.787
3447.92,2.55149534035756e-07,344.792
3447.97,1.93733966624737e-07,344.797
3448.02,-1.04927963571299e-06,344.802
3448.07,-4.62226071276425e-07,344.807
3448.12,1.88856341321228e-07,344.812
3448.17,2.54740082003397e-07,344.817
3448.22,7.05340907412827e-07,344.822
3448.27,3.01095439409154e-07,344.827
3448.32,-4.84065636824885e-08,344.832
3448.37,-2.71430391448449e-07,344.837
3448.42,-2.67174775243277e-07,344.842
3448.47,-3.02944755803255e-07,344.847
3448.52,2.46416794788235e-07,344.852
3448.57,-3.08122198441934e-07,344.857
3448.62,-1.46739941659798e-07,344.862
3448.67,8.80966742538352e-07,344.867
3448.72,1.43409623420477e-06,344.872
3448.77,-5.97750105481444e-08,344.877
3448.82,5.05398692519535e-08,344.882
3448.87,2.85997157916252e-07,344.887
3448.92,-1.74488707262605e-07,344.892
3448.97,-7.49231843934785e-07,344.897
3449.02,-4.50461597035209e-07,344.902
3449.07,-2.55088109238894e-07,344.907
3449.12,-4.62843605489163e-07,344.912
3449.17,-1.36322255033855e-08,344.917
3449.22,7.1504693427825e-07,344.922
3449.27,2.92635650703184e-07,344.927
3449.32,-6.84876128104676e-08,344.932
3449.37,1.75060269017816e-07,344.937
3449.42,4.79269721883623e-07,344.942
3449.47,3.32182469669225e-07,344.947
3449.52,6.39577988641846e-07,344.952
3449.57,1.31475774759318e-06,344.957
3449.62,7.83593231892152e-07,344.962
3449.67,9.40386510971972e-07,344.967
3449.72,1.34551363631889e-06,344.972
3449.77,2.18875884125522e-06,344.977
3449.82,1.96060679896218e-06,344.982
3449.87,9.14389663081389e-07,344.987
3449.92,1.03337015884501e-06,344.992
3449.97,7.6691533326263e-07,344.997
3450.02,1.51149385553458e-06,345.002
3450.07,5.66295059580864e-07,345.007
3450.12,3.12741329181982e-07,345.012
3450.17,1.77572917281963e-07,345.017
3450.22,-4.98206275319462e-08,345.022
3450.27,-4.74780362825962e-07,345.027
3450.32,1.02618592229518e-07,345.032
3450.37,-5.69721773148807e-07,345.037
3450.42,-8.65672842120666e-07,345.042
3450.47,-1.07355589009054e-06,345.047
3450.52,-2.04694185059565e-07,345.052
3450.57,-2.7280865621311e-07,345.057
3450.62,-3.86822011481214e-07,345.062
3450.67,-1.41357776500944e-06,345.067
3450.72,-6.73550341232401e-07,345.072
3450.77,2.567045567816e-07,345.077
3450.82,-2.4032098676038e-07,345.082
3450.87,-6.60969200369268e-07,345.087
3450.92,-2.93115687063867e-07,345.092
3450.97,-1.43237452197035e-06,345.097
3451.02,-9.87047401680051e-07,345.102
3451.07,-7.71711239463882e-08,345.107
3451.12,-9.70776717640089e-07,345.112
3451.17,-1.20282631537025e-06,345.117
3451.22,-7.05194494749617e-07,345.122
3451.27,-1.48079725904307e-06,345.127
3451.32,-6.44698516329305e-07,345.132
3451.37,-2.60943497045904e-07,345.137
3451.42,-8.03617173788671e-08,345.142
3451.47,-6.38413539504738e-07,345.147
3451.52,-1.12694351273597e-06,345.152
3451.57,-8.17574534253907e-07,345.157
3451.62,2.16309764474465e-07,345.162
3451.67,-7.0247823919069e-07,345.167
3451.72,-5.78875151642686e-07,345.172
3451.77,-2.20159236741417e-08,345.177
3451.82,-4.62635523308784e-07,345.182
3451.87,-2.71486174568252e-08,345.187
3451.92,-7.11132667940219e-07,345.192
3451.97,-5.10109584634406e-07,345.197
3452.02,-9.57472882752628e-07,345.202
3452.07,-6.60331529171332e-07,345.207
3452.12,2.71699898425691e-07,345.212
3452.17,2.59459001818314e-08,345.217
3452.22,-5.65745837293607e-07,345.222
3452.27,-1.35109705246557e-07,345.227
3452.32,-2.74321167545758e-07,345.232
3452.37,-1.91855585324266e-08,345.237
3452.42,-5.60264102434159e-07,345.242
3452.47,1.85182460243998e-07,345.247
3452.52,1.99045655831402e-07,345.252
3452.57,-4.67837577818261e-07,345.257
3452.62,-4.23263242361147e-07,345.262
3452.67,-5.7992451231578e-07,345.267
3452.72,9.16016283996825e-07,345.272
3452.77,3.62081417802616e-07,345.277
3452.82,-1.39410070307724e-07,345.282
3452.87,-2.53398839925064e-07,345.287
3452.92,-1.63429027503318e-07,345.292
3452.97,-3.06795394861668e-07,345.297
3453.02,-1.56199849817246e-07,345.302
3453.07,-7.76230873919427e-08,345.307
3453.12,3.92528539421952e-07,345.312
3453.17,-2.28679571873151e-07,345.317
3453.22,-9.871546066542e-08,345.322
3453.27,3.13869000353069e-07,345.327
3453.32,3.86010868546208e-07,345.332
3453.37,-1.15073200458318e-06,345.337
3453.42,-4.26856575497585e-07,345.342
3453.47,1.35799868950178e-07,345.347
3453.52,4.64762142769883e-07,345.352
3453.57,1.53961403664215e-06,345.357
3453.62,3.11906763017666e-07,345.362
3453.67,9.74415778513748e-07,345.367
3453.72,8.98494869431788e-07,345.372
3453.77,1.66442307089919e-06,345.377
3453.82,8.45548023017917e-07,345.382
3453.87,-2.39141854404898e-07,345.387
3453.92,1.22261102568741e-07,345.392
3453.97,7.17664742353987e-07,345.397
3454.02,2.41425212852129e-08,345.402
3454.07,6.45462611785439e-08,345.407
3454.12,-1.04075945353145e-06,345.412
3454.17,-5.4435364668496e-07,345.417
3454.22,1.00757039820105e-07,345.422
3454.27,-3.48814570641439e-07,345.427
3454.32,-7.78506545527039e-07,345.432
3454.37,-6.69932396225166e-07,345.437
3454.42,7.50042174048774e-09,345.442
3454.47,5.39143691205597e-07,345.447
3454.52,3.62455070750179e-07,345.452
3454.57,-6.97965317063544e-07,345.457
3454.62,-1.25856101551264e-06,345.462
3454.67,-1.183385174883e-06,345.467
3454.72,9.39731132511879e-08,345.472
3454.77,1.94720678899438e-07,345.477
3454.82,3.01207311549143e-07,345.482
3454.87,7.04311683724931e-07,345.487
3454.92,9.61261852293871e-07,345.492
3454.97,7.60569945482469e-07,345.497
3455.02,1.4129792490605e-06,345.502
3455.07,1.698150283663e-06,345.507
3455.12,-4.37016803251362e-07,345.512
3455.17,-4.7350949531569e-07,345.517
3455.22,-5.88659523966145e-07,345.522
3455.27,-9.72776991503087e-07,345.527
3455.32,-1.06916826476019e-06,345.532
3455.37,-1.48768858286638e-06,345.537
3455.42,-7.71078235431786e-07,345.542
3455.47,-6.18184819151974e-07,345.547
3455.52,-7.6289814455581e-07,345.552
3455.57,-9.77842562001778e-07,345.557
3455.62,-9.74978635218066e-07,345.562
3455.67,-1.352390416764e-06,345.567
3455.72,-8.54373755981804e-07,345.572
3455.77,-1.79220898784129e-07,345.577
3455.82,2.20185015403675e-07,345.582
3455.87,-4.94134129423872e-08,345.587
3455.92,6.35212737739485e-07,345.592
3455.97,8.42670863857647e-08,345.597
3456.02,3.93790457161025e-07,345.602
3456.07,3.31034661512941e-07,345.607
3456.12,9.93854873838432e-08,345.612
3456.17,-3.96832330567407e-07,345.617
3456.22,-9.46900965523692e-07,345.622
3456.27,-4.93897074107238e-07,345.627
3456.32,-6.13768107065218e-07,345.632
3456.37,5.96552112182362e-08,345.637
3456.42,1.90402414295872e-07,345.642
3456.47,1.08051103347371e-07,345.647
3456.52,3.89830183405424e-07,345.652
3456.57,4.54389357950127e-07,345.657
3456.62,9.48040802790002e-07,345.662
3456.67,1.74771859144921e-06,345.667
3456.72,2.53018813761526e-06,345.672
3456.77,2.4583080502297e-06,345.677
3456.82,2.98238875210655e-06,345.682
3456.87,3.43789406961311e-06,345.687
3456.92,4.34838561789668e-06,345.692
3456.97,5.19053671330392e-06,345.697
3457.02,3.03766925136059e-06,345.702
3457.07,1.84557986462576e-06,345.707
3457.12,7.57247342924803e-07,345.712
3457.17,-1.51287547646344e-06,345.717
3457.22,-2.67954975043563e-06,345.722
3457.27,-3.43639386421586e-06,345.727
3457.32,-3.59681627551692e-06,345.732
3457.37,-4.12737437429912e-06,345.737
3457.42,-3.72455188495606e-06,345.742
3457.47,-3.17507844474456e-06,345.747
3457.52,-2.27177803761947e-06,345.752
3457.57,-2.69728595950945e-06,345.757
3457.62,-2.00709974162011e-06,345.762
3457.67,-1.75508537186747e-06,345.767
3457.72,-2.11107818341124e-06,345.772
3457.77,-1.56740419493676e-06,345.777
3457.82,-1.47626196248793e-06,345.782
3457.87,-6.79788331758174e-07,345.787
3457.92,-1.04574895097494e-06,345.792
3457.97,1.30548590699107e-07,345.797
3458.02,-4.51577967372155e-08,345.802
3458.07,-6.02560756081146e-07,345.807
3458.12,-5.62622253524979e-08,345.812
3458.17,7.50859443731446e-07,345.817
3458.22,7.60784739991247e-07,345.822
3458.27,1.00147317429142e-06,345.827
3458.32,8.55193638927746e-07,345.832
3458.37,1.24387332225352e-06,345.837
3458.42,1.60413517465926e-06,345.842
3458.47,1.63095987638576e-06,345.847
3458.52,2.33082974671253e-06,345.852
3458.57,2.95456838833415e-06,345.857
3458.62,3.96073299073609e-06,345.862
3458.67,4.58144884713522e-06,345.867
3458.72,5.85857448491829e-06,345.872
3458.77,7.61157959434267e-06,345.877
3458.82,7.25536527596172e-06,345.882
3458.87,6.63096882615696e-06,345.887
3458.92,4.55232629165335e-06,345.892
3458.97,2.17289760924762e-06,345.897
3459.02,-7.54921660974612e-07,345.902
